column,reason
V166,outside top 35 by univariate |AUC-0.5| (feature cap)
V169,outside top 35 by univariate |AUC-0.5| (feature cap)
V17,outside top 35 by univariate |AUC-0.5| (feature cap)
V171,|corr| > 0.9 with V170 (same NaN group)
V172,outside top 35 by univariate |AUC-0.5| (feature cap)
V173,outside top 35 by univariate |AUC-0.5| (feature cap)
V174,outside top 35 by univariate |AUC-0.5| (feature cap)
V175,outside top 35 by univariate |AUC-0.5| (feature cap)
V176,|corr| > 0.9 with V167 (same NaN group)
V178,|corr| > 0.9 with V168 (same NaN group)
V179,|corr| > 0.9 with V168 (same NaN group)
V18,|corr| > 0.9 with V17 (same NaN group)
V182,|corr| > 0.9 with V180 (same NaN group)
V185,|corr| > 0.9 with V184 (same NaN group)
V186,|corr| > 0.9 with V168 (same NaN group)
V19,outside top 35 by univariate |AUC-0.5| (feature cap)
V191,|corr| > 0.9 with V168 (same NaN group)
V192,|corr| > 0.9 with V180 (same NaN group)
V193,|corr| > 0.9 with V168 (same NaN group)
V194,outside top 35 by univariate |AUC-0.5| (feature cap)
V196,|corr| > 0.9 with V168 (same NaN group)
V197,|corr| > 0.9 with V194 (same NaN group)
V198,|corr| > 0.9 with V195 (same NaN group)
V199,|corr| > 0.9 with V190 (same NaN group)
V2,outside top 35 by univariate |AUC-0.5| (feature cap)
V20,|corr| > 0.9 with V19 (same NaN group)
V201,|corr| > 0.9 with V200 (same NaN group)
V203,|corr| > 0.9 with V168 (same NaN group)
V204,|corr| > 0.9 with V168 (same NaN group)
V205,|corr| > 0.9 with V172 (same NaN group)
V206,outside top 35 by univariate |AUC-0.5| (feature cap)
V207,|corr| > 0.9 with V168 (same NaN group)
V208,outside top 35 by univariate |AUC-0.5| (feature cap)
V209,outside top 35 by univariate |AUC-0.5| (feature cap)
V21,|corr| > 0.9 with V17 (same NaN group)
V210,outside top 35 by univariate |AUC-0.5| (feature cap)
V212,|corr| > 0.9 with V168 (same NaN group)
V213,|corr| > 0.9 with V168 (same NaN group)
V22,|corr| > 0.9 with V17 (same NaN group)
V220,outside top 35 by univariate |AUC-0.5| (feature cap)
V222,|corr| > 0.9 with V221 (same NaN group)
V223,outside top 35 by univariate |AUC-0.5| (feature cap)
V224,|corr| > 0.9 with V218 (same NaN group)
V225,|corr| > 0.9 with V218 (same NaN group)
V226,outside top 35 by univariate |AUC-0.5| (feature cap)
V227,outside top 35 by univariate |AUC-0.5| (feature cap)
V229,|corr| > 0.9 with V218 (same NaN group)
V23,outside top 35 by univariate |AUC-0.5| (feature cap)
V230,|corr| > 0.9 with V219 (same NaN group)
V231,|corr| > 0.9 with V217 (same NaN group)
V233,|corr| > 0.9 with V232 (same NaN group)
V235,outside top 35 by univariate |AUC-0.5| (feature cap)
V236,outside top 35 by univariate |AUC-0.5| (feature cap)
V237,outside top 35 by univariate |AUC-0.5| (feature cap)
V238,outside top 35 by univariate |AUC-0.5| (feature cap)
V239,|corr| > 0.9 with V238 (same NaN group)
V24,outside top 35 by univariate |AUC-0.5| (feature cap)
V240,outside top 35 by univariate |AUC-0.5| (feature cap)
V241,outside top 35 by univariate |AUC-0.5| (feature cap)
V243,|corr| > 0.9 with V218 (same NaN group)
V244,|corr| > 0.9 with V242 (same NaN group)
V245,|corr| > 0.9 with V221 (same NaN group)
V247,outside top 35 by univariate |AUC-0.5| (feature cap)
V248,outside top 35 by univariate |AUC-0.5| (feature cap)
V249,|corr| > 0.9 with V248 (same NaN group)
V25,outside top 35 by univariate |AUC-0.5| (feature cap)
V250,outside top 35 by univariate |AUC-0.5| (feature cap)
V251,|corr| > 0.9 with V250 (same NaN group)
V252,outside top 35 by univariate |AUC-0.5| (feature cap)
V253,|corr| > 0.9 with V248 (same NaN group)
V254,|corr| > 0.9 with V248 (same NaN group)
V255,outside top 35 by univariate |AUC-0.5| (feature cap)
V256,|corr| > 0.9 with V255 (same NaN group)
V259,|corr| > 0.9 with V221 (same NaN group)
V26,outside top 35 by univariate |AUC-0.5| (feature cap)
V260,outside top 35 by univariate |AUC-0.5| (feature cap)
V261,outside top 35 by univariate |AUC-0.5| (feature cap)
V262,outside top 35 by univariate |AUC-0.5| (feature cap)
V264,|corr| > 0.9 with V248 (same NaN group)
V266,outside top 35 by univariate |AUC-0.5| (feature cap)
V267,|corr| > 0.9 with V248 (same NaN group)
V268,outside top 35 by univariate |AUC-0.5| (feature cap)
V269,|corr| > 0.9 with V266 (same NaN group)
V27,outside top 35 by univariate |AUC-0.5| (feature cap)
V270,outside top 35 by univariate |AUC-0.5| (feature cap)
V271,|corr| > 0.9 with V270 (same NaN group)
V272,|corr| > 0.9 with V270 (same NaN group)
V274,|corr| > 0.9 with V268 (same NaN group)
V276,outside top 35 by univariate |AUC-0.5| (feature cap)
V277,outside top 35 by univariate |AUC-0.5| (feature cap)
V278,|corr| > 0.9 with V276 (same NaN group)
V279,outside top 35 by univariate |AUC-0.5| (feature cap)
V28,|corr| > 0.9 with V27 (same NaN group)
V280,outside top 35 by univariate |AUC-0.5| (feature cap)
V281,outside top 35 by univariate |AUC-0.5| (feature cap)
V282,outside top 35 by univariate |AUC-0.5| (feature cap)
V283,outside top 35 by univariate |AUC-0.5| (feature cap)
V284,outside top 35 by univariate |AUC-0.5| (feature cap)
V285,outside top 35 by univariate |AUC-0.5| (feature cap)
V286,outside top 35 by univariate |AUC-0.5| (feature cap)
V287,outside top 35 by univariate |AUC-0.5| (feature cap)
V288,outside top 35 by univariate |AUC-0.5| (feature cap)
V289,outside top 35 by univariate |AUC-0.5| (feature cap)
V29,outside top 35 by univariate |AUC-0.5| (feature cap)
V290,outside top 35 by univariate |AUC-0.5| (feature cap)
V291,outside top 35 by univariate |AUC-0.5| (feature cap)
V292,|corr| > 0.9 with V280 (same NaN group)
V293,outside top 35 by univariate |AUC-0.5| (feature cap)
V294,|corr| > 0.9 with V280 (same NaN group)
V295,|corr| > 0.9 with V280 (same NaN group)
V296,outside top 35 by univariate |AUC-0.5| (feature cap)
V297,outside top 35 by univariate |AUC-0.5| (feature cap)
V298,outside top 35 by univariate |AUC-0.5| (feature cap)
V299,outside top 35 by univariate |AUC-0.5| (feature cap)
V3,outside top 35 by univariate |AUC-0.5| (feature cap)
V30,|corr| > 0.9 with V29 (same NaN group)
V300,outside top 35 by univariate |AUC-0.5| (feature cap)
V301,|corr| > 0.9 with V300 (same NaN group)
V302,outside top 35 by univariate |AUC-0.5| (feature cap)
V304,|corr| > 0.9 with V302 (same NaN group)
V305,outside top 35 by univariate |AUC-0.5| (feature cap)
V306,outside top 35 by univariate |AUC-0.5| (feature cap)
V307,outside top 35 by univariate |AUC-0.5| (feature cap)
V308,outside top 35 by univariate |AUC-0.5| (feature cap)
V309,outside top 35 by univariate |AUC-0.5| (feature cap)
V31,|corr| > 0.9 with V15 (same NaN group)
V310,outside top 35 by univariate |AUC-0.5| (feature cap)
V311,outside top 35 by univariate |AUC-0.5| (feature cap)
V312,outside top 35 by univariate |AUC-0.5| (feature cap)
V313,outside top 35 by univariate |AUC-0.5| (feature cap)
V314,outside top 35 by univariate |AUC-0.5| (feature cap)
V315,|corr| > 0.9 with V313 (same NaN group)
V316,outside top 35 by univariate |AUC-0.5| (feature cap)
V317,|corr| > 0.9 with V307 (same NaN group)
V318,outside top 35 by univariate |AUC-0.5| (feature cap)
V319,outside top 35 by univariate |AUC-0.5| (feature cap)
V32,|corr| > 0.9 with V15 (same NaN group)
V320,outside top 35 by univariate |AUC-0.5| (feature cap)
V321,|corr| > 0.9 with V319 (same NaN group)
V322,outside top 35 by univariate |AUC-0.5| (feature cap)
V323,outside top 35 by univariate |AUC-0.5| (feature cap)
V324,outside top 35 by univariate |AUC-0.5| (feature cap)
V325,outside top 35 by univariate |AUC-0.5| (feature cap)
V326,outside top 35 by univariate |AUC-0.5| (feature cap)
V327,outside top 35 by univariate |AUC-0.5| (feature cap)
V328,outside top 35 by univariate |AUC-0.5| (feature cap)
V329,outside top 35 by univariate |AUC-0.5| (feature cap)
V33,|corr| > 0.9 with V15 (same NaN group)
V330,outside top 35 by univariate |AUC-0.5| (feature cap)
V331,outside top 35 by univariate |AUC-0.5| (feature cap)
V332,outside top 35 by univariate |AUC-0.5| (feature cap)
V333,|corr| > 0.9 with V331 (same NaN group)
V334,outside top 35 by univariate |AUC-0.5| (feature cap)
V335,outside top 35 by univariate |AUC-0.5| (feature cap)
V336,outside top 35 by univariate |AUC-0.5| (feature cap)
V337,outside top 35 by univariate |AUC-0.5| (feature cap)
V338,|corr| > 0.9 with V337 (same NaN group)
V339,|corr| > 0.9 with V337 (same NaN group)
V34,|corr| > 0.9 with V15 (same NaN group)
V35,outside top 35 by univariate |AUC-0.5| (feature cap)
V36,|corr| > 0.9 with V35 (same NaN group)
V37,outside top 35 by univariate |AUC-0.5| (feature cap)
V38,|corr| > 0.9 with V37 (same NaN group)
V39,outside top 35 by univariate |AUC-0.5| (feature cap)
V4,outside top 35 by univariate |AUC-0.5| (feature cap)
V40,|corr| > 0.9 with V39 (same NaN group)
V41,outside top 35 by univariate |AUC-0.5| (feature cap)
V42,outside top 35 by univariate |AUC-0.5| (feature cap)
V43,|corr| > 0.9 with V42 (same NaN group)
V44,outside top 35 by univariate |AUC-0.5| (feature cap)
V45,|corr| > 0.9 with V44 (same NaN group)
V46,outside top 35 by univariate |AUC-0.5| (feature cap)
V47,outside top 35 by univariate |AUC-0.5| (feature cap)
V48,outside top 35 by univariate |AUC-0.5| (feature cap)
V49,|corr| > 0.9 with V48 (same NaN group)
V5,|corr| > 0.9 with V4 (same NaN group)
V50,outside top 35 by univariate |AUC-0.5| (feature cap)
V51,outside top 35 by univariate |AUC-0.5| (feature cap)
V52,|corr| > 0.9 with V51 (same NaN group)
V53,outside top 35 by univariate |AUC-0.5| (feature cap)
V54,|corr| > 0.9 with V53 (same NaN group)
V55,outside top 35 by univariate |AUC-0.5| (feature cap)
V56,outside top 35 by univariate |AUC-0.5| (feature cap)
V57,outside top 35 by univariate |AUC-0.5| (feature cap)
V58,|corr| > 0.9 with V57 (same NaN group)
V59,outside top 35 by univariate |AUC-0.5| (feature cap)
V6,outside top 35 by univariate |AUC-0.5| (feature cap)
V60,|corr| > 0.9 with V59 (same NaN group)
V61,outside top 35 by univariate |AUC-0.5| (feature cap)
V62,outside top 35 by univariate |AUC-0.5| (feature cap)
V63,|corr| > 0.9 with V59 (same NaN group)
V64,outside top 35 by univariate |AUC-0.5| (feature cap)
V65,outside top 35 by univariate |AUC-0.5| (feature cap)
V66,outside top 35 by univariate |AUC-0.5| (feature cap)
V67,outside top 35 by univariate |AUC-0.5| (feature cap)
V68,outside top 35 by univariate |AUC-0.5| (feature cap)
V69,outside top 35 by univariate |AUC-0.5| (feature cap)
V7,outside top 35 by univariate |AUC-0.5| (feature cap)
V70,|corr| > 0.9 with V69 (same NaN group)
V71,|corr| > 0.9 with V57 (same NaN group)
V72,|corr| > 0.9 with V57 (same NaN group)
V73,|corr| > 0.9 with V57 (same NaN group)
V74,|corr| > 0.9 with V57 (same NaN group)
V75,outside top 35 by univariate |AUC-0.5| (feature cap)
V76,|corr| > 0.9 with V75 (same NaN group)
V77,outside top 35 by univariate |AUC-0.5| (feature cap)
V78,outside top 35 by univariate |AUC-0.5| (feature cap)
V79,outside top 35 by univariate |AUC-0.5| (feature cap)
V8,outside top 35 by univariate |AUC-0.5| (feature cap)
V80,outside top 35 by univariate |AUC-0.5| (feature cap)
V81,|corr| > 0.9 with V80 (same NaN group)
V82,outside top 35 by univariate |AUC-0.5| (feature cap)
V83,outside top 35 by univariate |AUC-0.5| (feature cap)
V84,outside top 35 by univariate |AUC-0.5| (feature cap)
V85,|corr| > 0.9 with V84 (same NaN group)
V86,outside top 35 by univariate |AUC-0.5| (feature cap)
V87,outside top 35 by univariate |AUC-0.5| (feature cap)
V88,outside top 35 by univariate |AUC-0.5| (feature cap)
V89,outside top 35 by univariate |AUC-0.5| (feature cap)
V9,outside top 35 by univariate |AUC-0.5| (feature cap)
V90,outside top 35 by univariate |AUC-0.5| (feature cap)
V91,|corr| > 0.9 with V90 (same NaN group)
V92,|corr| > 0.9 with V79 (same NaN group)
V93,|corr| > 0.9 with V79 (same NaN group)
V94,|corr| > 0.9 with V79 (same NaN group)
V95,outside top 35 by univariate |AUC-0.5| (feature cap)
V96,outside top 35 by univariate |AUC-0.5| (feature cap)
V97,outside top 35 by univariate |AUC-0.5| (feature cap)
V98,outside top 35 by univariate |AUC-0.5| (feature cap)
V99,outside top 35 by univariate |AUC-0.5| (feature cap)
card_key,"string identity key (used to build features, not a feature)"
id_04,near-duplicate of a kept identity column or free-text with no stable meaning
id_07,missing > 95% in training
id_08,missing > 95% in training
id_10,near-duplicate of a kept identity column or free-text with no stable meaning
id_18,near-duplicate of a kept identity column or free-text with no stable meaning
id_21,missing > 95% in training
id_22,missing > 95% in training
id_23,near-duplicate of a kept identity column or free-text with no stable meaning
id_24,missing > 95% in training
id_25,missing > 95% in training
id_26,missing > 95% in training
id_27,near-duplicate of a kept identity column or free-text with no stable meaning
isFraud,label
split,split marker
uid,"string identity key (used to build features, not a feature)"
